# +--------------------------------------------------------------------+
#  Project:   Starshatter 5.0
#  File:      content.txt
#
#  Default ENGLISH / USA text
#
#  Destroyer Studios LLC
#  Copyright © 1997-2007. All Rights Reserved.
# +--------------------------------------------------------------------+

FORCOM                      = FORCOM
CombatGroup.abrv.C3I                 = SI
CombatGroup.abrv.COMM_RELAY          = SI
CombatGroup.abrv.EARLY_WARNING       = SI
CombatGroup.abrv.FWD_CONTROL_CTR     = SI
CombatGroup.abrv.ECM                 = SI
CombatGroup.abrv.SUPPORT             = SUP
CombatGroup.abrv.COURIER             = SUP
CombatGroup.abrv.SUPPLY              = SUP
CombatGroup.abrv.REPAIR              = SUP
CombatGroup.abrv.MEDICAL             = SUP
CombatGroup.abrv.default             = Civ Traf

CmdMissionsDlg.training     = Training - Passed
CmdOrdersDlg.situation      = Situation
CmdOrdersDlg.orders         = Orders
CmpnScreen.training         = Training Complete
CmpnScreen.congrats         = Congratulations {} {}!  You have completed the full course of training scenarios.  Your permament records have been updated and you may return to your regular duties.
CmpSelectDlg.select_msg     = Select a campaign and press Accept.\n
CmpSelectDlg.scenario       = Scenario:
CmpSelectDlg.campaign-time  = Campaign Time:
CmpSelectDlg.assignment     = Assignment:
CmpSelectDlg.team-score     = Team Score:
CmpSelectDlg.already-loading= Starshatter is already loading a campaign.\nPlease wait...
CmpSelectDlg.are-you-sure   = Are you sure you want to delete saved game\n'{}'?
CmpSelectDlg.confirm        = Confirm Delete
CmpSelectDlg.loading        = Loading...

DebriefDlg.mission-name     = Mission Name
DebriefDlg.unspecified      = Unspecified
DebriefDlg.unknown          = Unknown
DebriefDlg.no-stats         = No Stats Found
DebriefDlg.points           = Points

EngDlg.OK                   = OK
EngDlg.FAIL                 = FAIL
EngDlg.WARN                 = WARN
EngDlg.MAINT                = MAINT
EngDlg.CRITICAL             = CRITICAL
EngDlg.DEGRADED             = DEGRADED
EngDlg.NOMINAL              = NOMINAL
EngDlg.REPAIR               = REPAIR

FltDlg.ACTIVE               = ACTIVE
FltDlg.PENDING              = PENDING
FltDlg.Open                 = Open
FltDlg.Unknown              = Unknown

JoyDlg.axis.0               = X Axis
JoyDlg.axis.1               = Y Axis
JoyDlg.axis.2               = Z Axis
JoyDlg.axis.3               = X Rotation
JoyDlg.axis.4               = Y Rotation
JoyDlg.axis.5               = Z Rotation
JoyDlg.axis.6               = Slider 1
JoyDlg.axis.7               = Slider 2
JoyDlg.select               = Select
JoyDlg.unmapped             = Unmapped

LoadDlg.campaign            = Loading Campaign
LoadDlg.tac-ref             = Loading Tactical Reference
LoadDlg.mission             = Loading Mission

MsnDlg.no-mission           = No Mission
MsnDlg.found-errors         = Starshatter encountered the following errors while trying to load this mission:\n\n
MsnDlg.target               = Target:
MsnDlg.undefined            = Undefined
MsnDlg.default              = (default)
MsnDlg.ATTACK               = ATTACK
MsnDlg.PATROL               = PATROL

MsnSelectDlg.choose         = Select a mission and press Accept.
MsnSelectDlg.mission-type   = Mission Type:
MsnSelectDlg.scenario       = Scenario:
MsnSelectDlg.location       = Location:
MsnSelectDlg.start-time     = Start Time:
MsnSelectDlg.sector         = Sector
MsnSelectDlg.system         = System
MsnSelectDlg.are-you-sure   = Are you sure you want to delete the mission\n'{}'?
MsnSelectDlg.confirm-delete = Confirm Delete

NavDlg.filter.SYSTEM        = SYSTEM
NavDlg.filter.PLANET        = PLANET
NavDlg.filter.SECTOR        = SECTOR
NavDlg.filter.STATION       = STATION
NavDlg.filter.STARSHIP      = STARSHIP
NavDlg.filter.FIGHTER       = FIGHTER
NavDlg.commit               = Commit
NavDlg.cancel               = Cancel
NavDlg.loc-labels           = Location\nSystem:\nSector:\nCoords:
NavDlg.dst-labels           = Destination\nSystem:\nSector:\nCoords:\nDist:
NavDlg.destination          = Destination
NavDlg.not-avail            = n/a
NavDlg.unknown              = Unknown
NavDlg.radius               = Radius:
NavDlg.mass                 = Mass:
NavDlg.orbit                = Orbit:
NavDlg.period               = Period:
NavDlg.none                 = None
NavDlg.name                 = Name:
NavDlg.class                = Class:
NavDlg.sector               = Sector:
NavDlg.shield               = Shield:
NavDlg.hull                 = Hull:
NavDlg.range                = Range:
NavDlg.orders               = Orders:
NavDlg.units.seconds        = s
NavDlg.units.minutes        = m
NavDlg.units.hours          = h
NavDlg.units.days           = d
NavDlg.units.years          = y
NavDlg.units.kilometers     = km
NavDlg.units.tonnes         = t

NetClientDlg.offline        = Offline
NetClientDlg.lobby          = Lobby
NetClientDlg.briefing       = Briefing
NetClientDlg.active         = Active
NetClientDlg.debriefing     = Debriefing
NetClientDlg.persistent     = Persistent
NetClientDlg.not-avail      = N/A

NetGameClient.no-ship       = No Ship
NetGameClient.local-accept  = Local Player '{}' has been accepted as '{}'\n
NetGameClient.remote-join   = Remote Player '{}' has joined as '{}'\n
NetGameClient.remote-discon = Remote Player '{}' has disconnected\n
NetGameClient.remote-quit   = Remote Player '{}' has quit\n
NetGameClient.game-over     = Network Game Over\n
NetGameClient.discon-detect = Network Disconnect Detected\n
NetGameClient.please-exit   = Please exit this mission and reconnect to the server.\n
NetGameClient.unknown       = UNKNOWN
NetGameClient.chat.unknown  = (unknown)

NetGameServer.join-request  = Remote Player '{}' has asked to join as '{} {}'\n
NetGameServer.remote-discon = Remote Player '{}' has disconnected\n
NetGameServer.join-announce = Announcing Join...
NetGameServer.remote-quit   = Remote Player '{}' has quit\n
NetGameServer.unknown       = UNKNOWN
NetGameServer.chat.unknown  = (unknown)

NetUnitDlg.are-you-sure     = Are you sure you want to ban the player '{}'?
NetUnitDlg.confirm-ban      = Confirm Player Ban

PlayerDlg.are-you-sure      = Are you sure you want to delete the player '{}'?
PlayerDlg.confirm-delete    = Confirm Delete

QuantumView.menu            = QUANTUM DEST

QuitView.too-soon           = You cannot end the mission within the first 60 seconds
QuitView.threats-present    = You cannot end the mission while threats are present
QuitView.abort              = You may press ESC+2 to ABORT

HUDView.symbol.fighter      = F
HUDView.symbol.starship     = S
HUDView.symbol.torpedo      = T
HUDView.symbol.shield       = S
HUDView.symbol.hull         = H
HUDView.symbol.degrees      = deg
HUDView.mode.tactical       = TAC
HUDView.mode.navigation     = NAV
HUDView.mode.landing        = ILS
HUDView.PAUSED              = PAUSED
HUDView.altitude            = ALT
HUDView.Pitch               = Pitch
HUDView.Heading             = Heading
HUDView.gear-down           = GEAR DOWN
HUDView.threat-warn         = SENSOR LOCK
HUDView.quantum-jump        = QUANTUM JUMP
HUDView.missile-warn        = WARNING: MISSILE INBOUND
HUDView.AUTO                = AUTO
HUDView.SHOOT               = SHOOT
HUDView.SHIELD              = SHIELD
HUDView.DECOY               = DECOY
HUDView.NET-GAME-OVER       = NET GAME OVER
HUDView.OBSERVER            = OBSERVER
HUDView.No-Range            = No Range
HUDView.Auto-Nav            = Auto Nav
HUDView.Nav                 = Nav
HUDView.time-enroute        = ETR
HUDView.HOLD                = HOLD
HUDView.UNKNOWN             = UNK
HUDView.REACTOR             = REAC
HUDView.DRIVE               = DRIVE
HUDView.QUANTUM             = QUANTUM
HUDView.SHIELD              = SHIELD
HUDView.SENSOR              = SENSOR
HUDView.COMPUTER            = COMP
HUDView.THRUSTER            = THRUST
HUDView.FLTDECK             = FLTDECK
HUDView.DECOY               = DECOY
HUDView.No-Instructions     = No Instructions
HUDView.SUCCESSFUL-LANDING  = SUCCESSFUL LANDING
HUDView.DOCKING-COMPLETE    = DOCKING COMPLETE
HUDView.Wide-Angle          = Wide Angle

TacView.contact             = Contact
TacView.name                = Name:
TacView.type                = Type:
TacView.shield              = Shld:
TacView.hull                = Hull:
TacView.range               = Rng:
TacView.speed               = Spd:
TacView.heading             = Hdg:
TacView.active              = Act:
TacView.passive             = Pas:
TacView.orders              = Ords:
TacView.starship            = Starship
TacView.fighter             = Fighter

TacView.menu.main           = MAIN
TacView.item.camera         = Camera
TacView.item.instructions   = INSTR
TacView.item.navigation     = NAV
TacView.item.engineering    = ENG
TacView.item.weapons        = WEP
TacView.item.flight         = FLIGHT
TacView.item.command        = COMMAND

TacView.menu.view           = VIEW
TacView.item.forward        = Forward
TacView.item.chase          = Chase
TacView.item.orbit          = Orbit
TacView.item.padlock        = Padlock

TacView.menu.emcon          = SENSORS
TacView.item.emcon-1        = Goto EMCON 1
TacView.item.emcon-2        = Goto EMCON 2
TacView.item.emcon-3        = Goto EMCON 3
TacView.item.probe          = Launch Probe

TacView.menu.quantum        = QUANTUM
TacView.menu.farcast        = FARCAST

TacView.menu.action         = ACTION
TacView.item.engage         = Engage
TacView.item.bracket        = Bracket
TacView.item.escort         = Escort
TacView.item.identify       = Identify
TacView.item.hold           = Hold

TacView.menu.formation      = FORMATION
TacView.item.diamond        = Diamond
TacView.item.spread         = Spread
TacView.item.box            = Box
TacView.item.trail          = Trail

TacView.menu.context        = CONTEXT
TacView.item.action         = Action
TacView.item.formation      = Formation
TacView.item.sensors        = Sensors
TacView.item.patrol         = Move Patrol
TacView.item.cancel         = Cancel Orders
TacView.item.rtb            = Return to Base
TacView.item.dock           = Dock With
TacView.item.quantum        = Quantum
TacView.item.farcast        = Farcast

MapView.title.Galaxy        = Galaxy
MapView.title.Starsystem    = System:
MapView.title.Sector        = Sector:
MapView.title.Ship          = Ship:
MapView.info.Resolution     = Resolution

MapView.menu.STARSYSTEM     = SYSTEMS
MapView.menu.SECTOR         = SECTORS
MapView.menu.MAP            = MAP
MapView.menu.SHIP           = SHIP
MapView.menu.ACTION         = ACTION
MapView.menu.FORMATION      = FORMATION
MapView.menu.SPEED          = SPEED
MapView.menu.HOLD           = HOLD
MapView.menu.FARCAST        = FARCAST
MapView.menu.OBJECTIVE      = OBJECTIVE
MapView.menu.NAVPT          = NAVPT
MapView.item.Starsystem     = System
MapView.item.Sector         = Sector
MapView.item.Add-Nav        = Add Nav
MapView.item.Del-Nav        = Delete
MapView.item.Clear-All      = Clear All
MapView.item.Vector         = Vector
MapView.item.Launch         = Launch
MapView.item.Dock           = Dock
MapView.item.RTB            = RTB
MapView.item.Defend         = Defend
MapView.item.Escort         = Escort
MapView.item.Patrol         = Patrol
MapView.item.Sweep          = Sweep
MapView.item.Intercept      = Intercept
MapView.item.Strike         = Strike
MapView.item.Assault        = Assault
MapView.item.Recon          = Recon
MapView.item.Unknown        = Unknown
MapView.item.Diamond        = Diamond
MapView.item.Spread         = Spread
MapView.item.Box            = Box
MapView.item.Trail          = Trail
MapView.item.None           = None
MapView.item.1-Minute       = 1 Min
MapView.item.5-Minutes      = 5 Min
MapView.item.10-Minutes     = 10 Min
MapView.item.15-Minutes     = 15 Min
MapView.item.Use-Quantum    = Use quantum drive
MapView.item.Use-Farcast    = Use farcaster
MapView.item.Action         = Action
MapView.item.Objective      = Objective
MapView.item.Formation      = Formation
MapView.item.Speed          = Speed
MapView.item.Hold           = Hold
MapView.item.Farcast        = Farcast
MapView.item.not-available  = n/a
MapView.item.no-system      = No System

RadioView.menu.TARGET       = TARGET
RadioView.item.attack       = 1. Attack Tgt
RadioView.item.bracket      = 2. Bracket Tgt
RadioView.item.escort       = 3. Escort Tgt

RadioView.menu.COMBAT       = COMBAT
RadioView.item.cover        = 1. Cover Me
RadioView.item.break-attack = 2. Break/Attack
RadioView.item.form-up      = 3. Form Up

RadioView.menu.FORMATION    = FORMATION
RadioView.item.diamond      = 1. Goto Diamond
RadioView.item.spread       = 2. Goto Spread
RadioView.item.box          = 3. Goto Box
RadioView.item.trail        = 4. Goto Trail

RadioView.menu.SENSORS      = SENSORS
RadioView.item.emcon-1      = 1. Goto EMCON 1
RadioView.item.emcon-2      = 2. Goto EMCON 2
RadioView.item.emcon-3      = 3. Goto EMCON 3
RadioView.item.probe        = 4. Launch Probe

RadioView.menu.MISSION      = MISSION
RadioView.item.skip-navpt   = 1. Skip Navpt
RadioView.item.resume       = 2. Resume Mission
RadioView.item.rtb          = 3. Return to Base

RadioView.menu.WINGMAN      = WINGMAN
RadioView.menu.ELEMENT      = ELEMENT
RadioView.item.target       = 1. Target
RadioView.item.combat       = 2. Combat
RadioView.item.formation    = 3. Formation
RadioView.item.mission      = 4. Mission
RadioView.item.sensors      = 5. Sensors

RadioView.menu.CONTROL      = CONTROL
RadioView.item.picture      = 1. Request Picture
RadioView.item.backup       = 2. Request Backup
RadioView.item.call-inbound = 3. Call Inbound
RadioView.item.call-finals  = 4. Call Finals

RadioView.menu.RADIO        = RADIO
RadioView.item.wingman      = 1. Wingman
RadioView.item.element      = 2. Element
RadioView.item.control      = 3. Control

RadioView.item.next-page    = 0. Next (pg {} of {})
RadioView.item.not-avail    = (N/A)

MFD.mode.passive            = PAS
MFD.mode.standard           = STD
MFD.mode.auto-combat        = ACM
MFD.mode.ground             = GND
MFD.mode.combined           = STD
MFD.mode.field-of-view      = FOV
MFD.mode.horizontal         = HSD
MFD.mode.3D                 = 3D
MFD.probe                   = P
MFD.inactive                = No Sensor
MFD.phase.DOCKED            = Docked
MFD.phase.ALERT             = Alert
MFD.phase.LOCKED            = Locked
MFD.phase.LAUNCH            = Launch
MFD.phase.TAKEOFF           = Takeoff
MFD.phase.ACTIVE            = Active
MFD.phase.APPROACH          = Approach
MFD.phase.RECOVERY          = Recovery
MFD.phase.DOCKING           = Docking
MFD.status.THRUST           = THRUST
MFD.status.FUEL             = FUEL
MFD.status.QUANTUM          = QUANTUM
MFD.status.HULL             = HULL
MFD.status.SHIELD           = SHIELD
MFD.status.GUNS             = GUNS
MFD.status.DECOY            = DECOY
MFD.status.LIVES            = LIVES
MFD.status.SENSOR           = SENSOR
MFD.status.OFFLINE          = OFFLINE
MFD.status.EMCON            = EMCON
MFD.status.MODE             = MODE
MFD.status.SENSOR-OFF       = Sensor Off
MFD.status.SYSTEMS          = SYSTEMS

Mission.unspecified         = Unspecified
Mission.unknown             = Unknown
Mission.error.no-file       = \nCan't Save Mission, file/path unspecified.\n
Mission.error.no-serial     = \nCan't Save Mission, failed to serialize.\n
Mission.error.no-elem       = ERROR: No elements found in mission '{}'\n
Mission.error.unnamed-elem  = ERROR: Unnamed element found in mission '{}'\n
Mission.error.wrong-sector  = ERROR: Player '{}' is not in mission sector '{}'\n
Mission.error.extra-player  = ERROR: Extra player '{}' found in mission '{}'\n
Mission.error.no-player     = ERROR: No player element found in mission '{}'\n
Mission.error.unknown-ship  = ERROR: unknown ship design '{}' in mission '{}'\n
Mission.error.out-of-order  = ERROR: design must come before skin in mission '{}'\n
Mission.error.bad-skin      = ERROR: embedded skins not supported in mission '{}'\n
Mission.error.no-objective  = ERROR: order struct missing for element '{}' in '{}'\n
Mission.error.no-ship       = ERROR: ship struct missing for element '{}' in '{}'\n
Mission.error.no-navpt      = ERROR: order struct missing for element '{}' in '{}'\n
Mission.error.no-loadout    = ERROR: loadout struct missing for element '{}' in '{}'\n


RadioHandler.no-hangar      = We don't even have a hangar!
RadioHandler.all-full       = All slots are full.  Check alternate landing site.
RadioHandler.too-far-away   = Proceed to {} sector and request clearance when in range.
RadioHandler.cleared        = You are cleared inbound to {}.
RadioHandler.sequenced      = You are number {} inbound to {}.
RadioHandler.help-enroute   = Help is on the way.
RadioHandler.no-help-for-you= No ships available at present.


form.main.start             = Start
form.main.start.alt         = Start a new game, or resume your current game
form.main.campaign          = Campaign
form.main.campaign.alt      = Start a new dynamic campaign, or load a saved game
form.main.mission           = Mission
form.main.mission.alt       = Play or create a scripted mission exercise
form.main.multiplayer       = Multiplayer
form.main.multiplayer.alt   = Start or join a multiplayer scenario
form.main.logbook           = Logbook
form.main.logbook.alt       = Manage your logbook and player preferences
form.main.options           = Options
form.main.options.alt       = Audio, Video, Gameplay, Control options
form.main.reference         = Tac Reference
form.main.reference.alt     = View ship and weapon stats and mission roles
form.main.exit              = Exit
form.main.exit.alt          = Exit Starshatter and return to Windows

form.ok         = OK
form.apply      = Apply
form.cancel     = Cancel
form.close      = Close
form.save       = Save
form.exit       = Exit
form.name       = Name
form.value      = Value
form.accept     = Accept
form.commit     = Commit
form.disable    = Disable
form.enable     = Enable

form.options.title          = Options
form.options.tab.video      = Video
form.options.tab.audio      = Audio
form.options.tab.controls   = Controls
form.options.tab.gameplay   = Gameplay

form.audio.volume.effects   = Effects Volume:
form.audio.volume.gui       = GUI Volume:
form.audio.volume.warning   = Warning Volume:
form.audio.volume.vox       = Vox Volume:
form.audio.music.menu       = Menu Music:
form.audio.music.game       = In Game Music:

form.gameplay.flight-model  = Flight Model:
form.gameplay.flying-start  = Flying Start:
form.gameplay.landings      = Landings:
form.gameplay.ai-difficulty = AI Difficulty:
form.gameplay.hud-mode      = HUD Mode:
form.gameplay.hud-color     = HUD Color:
form.gameplay.friendly-fire = Friendly Fire:
form.gameplay.ref-grid      = Reference Grid:
form.gameplay.gunsight      = Gunsight:

form.gameplay.flight-model.alt  = Select the flight model to be used by all ships and fighters in the game.\n\n* The Standard model uses zero-drag Newtonian physics and is similar to Terminus or IWar.  This model also uses realistic aerodynamics when flying in a planetary atmosphere.\n\n* The Relaxed model uses Newtonian physics, with added drag to make control easier.  This model is similar to that of EVE or Jumpgate.\n\n* The Arcade model keeps your ship flying in the direction it is pointing.  This model is similar to that of the Wing Commander games.
form.gameplay.flying-start.alt  = Choose whether to begin campaign missions on the flight deck or in space.\n\n* If Flying Start is disabled, you will begin all fighter-based missions in the dynamic campaign on the flight deck or runway, ready to launch.\n\n* If Flying Start is enabled, you will begin fighter-based missions in the dynamic campaign already in flight.  This setting will get you into the action faster by skipping the launch procedures.\n\n
form.gameplay.landings.alt      = Select the landing model that your fighter will use in the game.\n\n* The Standard model takes landing velocity into account and requires a softer touch to keep from damaging your ship.\n\n* The Easier model makes it easier to land your bird under adverse conditions.
form.gameplay.ai-difficulty.alt = Select the AI Difficulty level that you wish to face in the game.\n\n* The Ace level is the hardest, with AI pilots that are good shots and very aggressive.\n\n* The Veteran level is easier.  Enemy pilots are still somewhat aggressive, but are less skilled at defense.\n\n* The Rookie level is very easy.  Enemy pilots have poor threat reaction, rarely use missiles, and fly more slowly.
form.gameplay.hud-mode.alt      = Select the HUD that your ship will use in the game.\n\n* The Standard HUD provides more information but is more complex to read.\n\n* The Simplified HUD displays only the most important information and is easier to read.\n\nFor best results, use the Standard HUD with the Standard flight model, and the Simplified HUD with the Arcade flight model.
form.gameplay.hud-color.alt     = Select the default HUD color that your ship will use in the game.  You can always switch between HUD colors during play by pressing Shift+H.\n\nTip: Switch to the black HUD color during the game when flying atmospheric missions under daylight conditions.
form.gameplay.friendly-fire.alt = Select the amount of damage caused by friendly fire incidents.  Full damage means that friendly fire is just as deadly as fire targeted at enemies.  None means that weapons fire will pass right through friendly ships.\n\nTip:  You can use this setting to make cooperative network play safer and easier.
form.gameplay.ref-grid.alt      = Choose whether to enable or disable the reference grid displayed in the 3D tactical viewer.
form.gameplay.gunsight.alt      = Select the type of gunsight to use in the game.\n\n* The Standard LCOS pipper is similar to a modern jet fighter.  Place the pipper over the target and pull the trigger.\n\n* The Lead Indicator gunsight places a lead diamond in front of the target.  Line up the gun crosshairs and the lead diamond to ensure a gun hit.\n\nIf you prefer to use 'Virtual Joystick' mouse control, you will probably have more success with the Lead Indicator gunsight.

form.gameplay.standard      = Standard
form.gameplay.relaxed       = Relaxed
form.gameplay.arcade        = Arcade
form.gameplay.disabled      = Disabled
form.gameplay.enabled       = Enabled
form.gameplay.easier        = Easier
form.gameplay.ace           = Ace
form.gameplay.veteran       = Veteran
form.gameplay.rookie        = Rookie
form.gameplay.simplified    = Simplified
form.gameplay.green         = Green
form.gameplay.blue          = Blue
form.gameplay.orange        = Orange
form.gameplay.black         = Black
form.gameplay.none          = None
form.gameplay.25            = 25% Damage
form.gameplay.50            = 50% Damage
form.gameplay.75            = 75% Damage
form.gameplay.full          = Full Damage
form.gameplay.standard-lcos = Standard LCOS
form.gameplay.lead-diamond  = Lead Indicator

form.video.mode             = Video Mode:
form.video.max-texture      = Max Texture Size:
form.video.shadows          = Shadows:
form.video.specular-maps    = Specular Maps:
form.video.bump-maps        = Bump Maps:
form.video.terrain-detail   = Terrain Detail:
form.video.terrain-texture  = Terrain Texture:
form.video.lens-flare       = Lens Flare:
form.video.corona           = Corona:
form.video.nebula           = Nebula:
form.video.space-dust       = Space Dust:
form.video.gamma-level      = Gamma Level:
form.video.low              = Low
form.video.medium           = Medium
form.video.high             = High
form.video.none             = None
form.video.some             = Some
form.video.lots             = Lots

form.control.flight         = Flight
form.control.weapons        = Wep
form.control.view           = View
form.control.misc           = Misc
form.control.style          = Control Style:
form.control.joystick       = Joystick:
form.control.throttle       = Throttle:
form.control.rudder         = Rudder:
form.control.sensitivity    = Sensitivity:
form.control.joy-axis       = Joy Axis:
form.control.mouse          = Mouse:
form.control.inverted       = Inverted:
form.control.aircraft       = Aircraft
form.control.spacecraft     = Spacecraft
form.control.enable         = Enable
form.control.disable        = Disable
form.control.joy1           = Joystick 1
form.control.joy2           = Joystick 2
form.control.both           = Both
form.control.setup          = Setup...
form.control.mouse-look     = Mouse Look
form.control.virtual-stick  = Virtual Stick

form.award.title            = Congratulations

form.cmd.title              = Operational Command
form.cmd.orders             = Orders
form.cmd.theater            = Theater
form.cmd.forces             = Forces
form.cmd.intel              = Intel
form.cmd.missions           = Missions

form.cmd.force.groups       = Combat Groups
form.cmd.force.transfer     = Transfer

form.cmd.intel.newsfeed     = Newsfeed
form.cmd.intel.play         = Play
form.cmd.intel.date         = DATE
form.cmd.intel.title        = TITLE
form.cmd.intel.location     = LOC
form.cmd.intel.source       = SOURCE

form.cmd.mission.roster     = Mission Roster
form.cmd.mission.mission    = MISSION
form.cmd.mission.type       = TYPE
form.cmd.mission.start      = START
form.cmd.mission.objectives = Objectives

form.cmd.msg.title          = Message Title
form.cmd.msg.text           = MessageText

form.cmd.theater.galaxy     = Galaxy
form.cmd.theater.system     = System
form.cmd.theater.sector     = Sector

form.select.campaigns       = Dynamic Campaigns
form.select.new             = New
form.select.saved           = Saved
form.select.delete          = Delete
form.select.campaign        = Campaign
form.select.description     = Description

form.confirm.title          = Are You Sure?
form.confirm.message        = Are you sure you want to take this action?

form.debrief.title          = Mission Debriefing
form.debrief.system         = System:
form.debrief.sector         = Sector:
form.debrief.objectives     = Objectives
form.debrief.score          = Mission Score
form.debrief.active-units   = Active Units
form.debrief.mission-summary = Mission Summary
form.debrief.mission-events = Mission Log

form.engineering.title              = Engineering
form.engineering.reactor-1          = Reac 1
form.engineering.reactor-2          = Reac 2
form.engineering.reactor-3          = Reac 3
form.engineering.reactor-4          = Reac 4
form.engineering.power-off          = PWR OFF
form.engineering.power-on           = PWR ON
form.engineering.override           = OVERRIDE
form.engineering.auto-repair        = AUTO REPAIR
form.engineering.power-allocation   = Power Allocation
form.engineering.capacitor-charge   = Capacitor Charge
form.engineering.components         = Components
form.engineering.repair             = Repair
form.engineering.replace            = Replace
form.engineering.repair-queue       = Repair Queue

form.exit.title             = Exit Starshatter?
form.exit.message           = Are you sure you want to exit Starshatter and return to Windows?

form.file.title             = Save Game to File
form.file.name              = Name:
form.file.files             = Files:

form.first-time.title       = NEW PLAYER
